Dataset Intensity Statistics Report
Source: /data/hwh_data_folder/dataset/train
Config: FreqRes=5kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
743        | -105.75         | -9.55          
744        | -81.26          | 12.43          
745        | -112.37         | 12.41          
746        | -98.87          | -4.10          
747        | -104.99         | 7.58           
748        | -111.11         | 10.43          
749        | -107.47         | -7.52          
750        | -90.24          | 12.95          
751        | -98.05          | 13.34          
752        | -87.86          | 15.28          
753        | -95.39          | 1.13           
754        | -88.73          | 21.23          
755        | -109.11         | 10.92          
756        | -108.15         | 12.74          
757        | -129.95         | -5.24          
758        | -94.74          | 7.81           
759        | -90.89          | 8.50           
760        | -102.77         | -6.46          
761        | -114.59         | -1.17          
762        | -119.34         | -4.00          
763        | -100.80         | -1.88          
764        | -82.98          | 8.11           
765        | -109.12         | 1.35           
766        | -104.02         | 2.92           
767        | -115.41         | 8.55           
768        | -73.66          | 18.10          
769        | -98.22          | 17.06          
770        | -240.00         | 17.00          
771        | -79.50          | 9.70           
772        | -120.38         | -1.15          
773        | -120.67         | -6.40          
774        | -85.28          | 8.87           
775        | -98.72          | -5.20          
776        | -100.05         | 15.75          
777        | -112.87         | 17.26          
778        | -113.90         | 6.80           
779        | -106.46         | 11.41          
780        | -90.07          | 24.90          
781        | -105.80         | 9.07           
782        | -101.82         | 12.62          
783        | -101.28         | 14.00          
784        | -73.34          | 12.92          
785        | -100.61         | 1.38           
786        | -240.00         | 13.93          
787        | -119.27         | 5.16           
788        | -82.08          | 14.87          
789        | -116.92         | 6.48           
790        | -88.69          | 10.83          
791        | -73.59          | 16.95          
792        | -84.66          | 20.00          
793        | -77.38          | 20.48          
794        | -105.40         | 1.33           
795        | -97.82          | 6.88           
796        | -75.62          | 24.96          
797        | -115.63         | 4.76           
798        | -76.51          | 16.73          
799        | -104.67         | 7.96           
800        | -111.94         | 9.58           
801        | -102.09         | 11.96          
802        | -117.58         | 0.36           
803        | -100.72         | 0.78           
804        | -103.66         | -5.56          
805        | -119.94         | -4.62          
806        | -82.09          | 28.70          
807        | -118.25         | 8.07           
808        | -107.40         | -6.73          
809        | -111.78         | 2.14           
810        | -120.21         | 4.14           
811        | -79.09          | 18.04          
812        | -85.94          | 18.25          
813        | -102.84         | 11.64          
814        | -111.58         | 6.37           
815        | -80.37          | 14.68          
816        | -115.32         | 7.99           
817        | -113.92         | -10.97         
818        | -112.44         | 5.42           
819        | -95.89          | 12.04          
820        | -124.99         | -7.81          
821        | -104.56         | -0.79          
822        | -68.02          | 15.47          
823        | -109.15         | 8.03           
824        | -105.42         | 0.45           
825        | -120.35         | -0.76          
826        | -94.36          | 13.35          
827        | -96.92          | 11.41          
828        | -101.47         | 12.62          
829        | -101.71         | -3.31          
830        | -121.83         | 8.66           
831        | -91.60          | 24.06          
832        | -109.93         | 8.46           
833        | -109.26         | 2.54           
834        | -110.09         | 3.95           
835        | -108.03         | 6.79           
836        | -84.97          | 15.12          
837        | -87.53          | 2.65           
838        | -119.63         | -1.87          
839        | -85.99          | 22.34          
840        | -103.85         | 7.28           
841        | -86.37          | 1.19           
842        | -113.09         | 5.26           
843        | -81.44          | 18.59          
844        | -114.71         | 5.65           
845        | -76.69          | 14.83          
846        | -112.34         | 14.96          
847        | -111.17         | -15.60         
848        | -118.42         | 2.10           
849        | -99.72          | -1.59          
850        | -80.30          | 16.46          
851        | -93.58          | 11.26          
852        | -91.37          | 3.03           
853        | -102.56         | 10.51          
854        | -106.30         | 3.69           
855        | -99.92          | 4.38           
856        | -104.79         | 7.87           
857        | -111.32         | 9.27           
858        | -78.95          | -10.11         
859        | -115.01         | -1.31          
860        | -100.96         | -3.43          
861        | -103.73         | -4.34          
862        | -110.92         | 7.42           
863        | -99.96          | 14.97          
864        | -86.49          | 4.60           
865        | -99.35          | 11.78          
866        | -98.17          | 8.29           
867        | -97.32          | 15.57          
868        | -82.83          | 25.32          
869        | -104.64         | -12.84         
870        | -100.36         | -13.18         
871        | -117.52         | 20.14          
872        | -117.45         | 8.65           
873        | -81.70          | 16.38          
874        | -107.10         | -0.61          
875        | -91.49          | 4.45           
876        | -116.60         | 6.67           
877        | -120.31         | -3.16          
878        | -100.97         | 6.20           
879        | -97.29          | 6.15           
880        | -123.60         | 8.75           
881        | -81.36          | 5.80           
882        | -76.59          | 25.86          
883        | -99.38          | 12.18          
884        | -111.89         | 5.88           
885        | -100.43         | 12.19          
886        | -81.54          | 16.94          
887        | -127.66         | -17.35         
888        | -123.85         | 1.38           
889        | -110.18         | 5.12           
890        | -74.16          | -7.00          
891        | -111.18         | 13.57          
892        | -71.60          | 29.29          
893        | -91.56          | 12.11          
894        | -110.45         | -4.36          
895        | -111.31         | -0.79          
896        | -92.53          | 14.98          
897        | -73.04          | 23.43          
898        | -96.08          | -1.21          
899        | -104.20         | 9.69           
900        | -113.76         | 9.63           
901        | -122.44         | 0.82           
